ClientID,Command,Key,ResponseTime(ms)
4,set,key20,964
3,set,key15,1079
2,set,key10,1788
0,set,key0,2305
1,set,key5,3174
4,get,key20,2117
3,get,key15,2352
2,get,key10,2571
0,get,key0,2439
1,get,key5,1815
4,set,key21,1968
3,set,key16,2498
2,set,key11,2560
0,set,key1,2182
1,set,key6,2775
4,get,key21,2602
3,get,key16,2693
2,get,key11,1972
0,get,key1,2946
1,get,key6,2701
4,set,key22,3227
3,set,key17,3145
2,set,key12,3440
0,set,key2,2782
1,set,key7,2472
4,get,key22,2446
3,get,key17,2266
2,get,key12,2312
0,get,key2,2045
1,get,key7,1906
4,set,key23,1196
3,set,key18,892
2,set,key13,659
0,set,key3,1224
1,set,key8,2040
4,get,key23,1935
3,get,key18,2544
2,get,key13,2970
0,get,key3,2566
1,get,key8,1880
4,set,key24,1969
3,set,key19,1908
2,set,key14,1809
0,set,key4,1846
1,set,key9,1745
4,get,key24,2228
3,get,key19,1633
2,get,key14,1053
0,get,key4,1725
1,get,key9,2412
