ClientID,Command,Key,ResponseTime(ms)
3,set,key15,907
4,set,key20,992
0,set,key0,1066
1,set,key5,1120
2,set,key10,1196
3,get,key15,64
4,get,key20,48
0,get,key0,78
1,get,key5,75
2,get,key10,44
3,set,key16,67
4,set,key21,82
0,set,key1,40
1,set,key6,62
2,set,key11,81
3,get,key16,52
4,get,key21,50
0,get,key1,51
1,get,key6,45
2,get,key11,50
3,set,key17,68
4,set,key22,80
0,set,key2,89
1,set,key7,77
2,set,key12,92
3,get,key17,62
4,get,key22,48
0,get,key2,48
1,get,key7,46
2,get,key12,51
3,set,key18,76
4,set,key23,93
0,set,key3,85
1,set,key8,86
2,set,key13,66
3,get,key18,49
4,get,key23,81
0,get,key3,78
1,get,key8,81
2,get,key13,51
3,set,key19,68
4,set,key24,92
0,set,key4,108
1,set,key9,118
2,set,key14,142
3,get,key19,24
4,get,key24,70
0,get,key4,62
1,get,key9,42
2,get,key14,46
